asset_id,sensitivity,required_approvals,scheduled_for,destroy_action
a000,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a003,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a004,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a005,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a006,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a008,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a009,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a010,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a011,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a012,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a013,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a015,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a016,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a018,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a019,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a021,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a022,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a023,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a024,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a025,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a026,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a027,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a028,public,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a029,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a030,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a032,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a033,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a034,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a035,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a036,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a037,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a039,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a040,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a042,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a043,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a044,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a045,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a046,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a047,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a048,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a049,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a053,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a054,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a055,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a056,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a057,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a058,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a060,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a061,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a062,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a063,public,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a064,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a065,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a066,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a067,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a069,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
a070,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a071,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a073,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a075,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a076,internal,data_owner,2026-02-09,crypto_shred_or_logical_delete (pending)
a078,confidential,data_owner + security,2026-02-09,crypto_shred_or_logical_delete (pending)
a079,restricted,data_owner + security + legal,2026-02-09,crypto_shred_or_logical_delete (pending)
